unique_line,total_occurrences
"lounge (+/ 475 SF), private dining area (+/ 395 SF), game room (+/ 1,485 SF), screening",1
"lounge area , dining room, kitchen in the rear and two restrooms. Premise has one (1) entrance and one",1
lounge area.,1
lounge seating (+/- 50 patrons) and standing area (+/- 150 patrons). Washrooms and storage in rear.,1
lounge seating; in one additional room on ground floor for event space and,1
"lounge, private dining area, game room,screening room annual outdoor terrace #1 & #2; 243",1
lounge/cafe area with seating for 36.,1
"lower level there are 10 rooms (prep area, office, storage, walk in cooler, beer cooler, and",1
"lower level; 2 means of egress, one in the front and one in the back. Gennaro Riccio, Manager. Closing",1
"machines, and a storage closet.",1
made and products sold. The second,1
"made to order sandwiches. Snack bar only has an outdoor window to place orders, no interior for",1
"main building above security checkpoint, each partitioned with one conference room, office,",1
"main building. There is an approx. 600SF Private, seasonal outdoor patio (weather dependent, March",1
"main dining area and bar seating with an additional room for private dining; 1,488sf kitchen and",1
"main dining area seating and bar seating for 7; kitchen in rear, approx. 2,700sf storage in basement.",1
"main dining area, kitchen, a bathroom, and bar area with seating for 80; the lower basement",1
"main dining room, and lounge area with bar for 8 seats; 954sf kitchen in rear of premises. 2,112sf",1
main entrance/ exit on West Broadway; basement storage and offices.,1
"main entrance/exit on Salem St. 425sf basement for storage, office, private restroom.",1
"main entrance/exit on corner of Shawmut Ave. and W. Concord St., with additional emergency exit in",1
"main entry and general retail area; second floor comprised of various sensory and exhibition spaces,",1
main floor is one large room with 34' ceilings and a usable floor area of 2898 SF. It includes a walk-in,1
"main theatre with performance area (theatre wing). Second floor for rehearsal space, storage, office space, green room",1
maintained and managed by the Boston Public Market.,1
maintained by the airport. Manager:  Michael Gorospe,1
male) in violation of M.G.L. ch.,1
"male) in violation of M.G.L. ch. 138, s. 64",1
"malt beverages, with or without the addition of cordials/liqueurs, by submitting a",1
management agreement between BPP Investments Property LL LLC and Hilton Management LLC.,1
management agreement between EAHG Boston TRS LLC and Franklin Hospitality,1
management agreement between EREB One Seventy Charles LLC and PRG Management LLC.,1
"management agreement between: Millennium Tower Trust and The Tower Bar, Inc.",1
"management agreement with Big Heart Little Space, LLC, who is already approved as a management",1
"management discretion. Also, approved in-seat vending of beer & wine to the Loge Box seating area.",1
management regarding security and operations.,1
manager -  From: Jennifer Glover To: Adrian Fuentes.,1
manager -  From: Tomas Ruperto To: Nicolas Phelps.,1
manager - From: Matthew Casey To: Nelson Burns.,1
manager - From: Nicolas Phelps To: Michael Valitsky.,1
manager From - Islam Omar To - Ahmed Naguib.,1
"manager From: Ryan Potter, To: Brandon Thomas Keating.",1
manager of record,1
"manager of record, Hours of operation: 11:00 AM - 11:00 PM.",1
"manager of record. Basement, bakery area, kitchen, indoor seating, small patio, grab",1
"manager of record. First floor one room, kitchen in back, dry storage in basement.",1
manager of record. Hours of operation 10:00 AM - 9:00 PM.,1
manager of record. Hours of operation 11:00 AM - 9:00 PM.,1
manager of record. Hours of operation 5:00 AM - 11:00 PM.,1
manager of record. Hours of operation: 10:00 AM – 11:00 PM.,1
manager of record. Hours of operation: 10:00 AM – 9:00 PM.,1
manager of record. Hours of operation: 11:00 AM - 11:00 PM.,1
manager of record. Hours of operation: 11:00 AM - 5:00 PM.,1
manager of record. Hours of operation: 24 hours.,1
manager of record. Hours of operation: 4:00 AM - 11:00 PM.,1
manager of record. Hours of operation: 5:00 AM - Midnight.,1
manager of record. Hours of operation: 7:00 AM – 11:00 PM.,1
"manager of record. Hours of operation: Monday - Friday: 7:30 AM - 4:00 PM, Saturday -",1
"manager of record. Hours of operation: Monday - Saturday: 11:00 AM - 9:00 PM, closed on",1
manager of record. Hours of operation: Monday - Saturday: 11:30 AM - 10:00 PM; Sunday:,1
manager of record. Hours of operation: Monday – Friday: 7:00 AM – 4:00 AM.,1
manager of record. Hours of operation: Monday – Saturday: 6:00 AM - 7:00 PM,1
"manager of record. Hours of operation: Monday – Saturday: 7:00 AM - 9:00 PM, Sunday 8:00 AM -6:00",1
manager of record. Hours of operation: Monday – Wednesday: 6:00 AM – 2:00 AM; Thursday –,1
"manager of record. Hours of operation: Sunday – Wednesday: 10:00 AM - 10:00 PM, Thursday –",1
manager of record. Hours of operation: Tuesday - Sunday: 11:00 AM - 9:00 PM.,1
"manager of record. Hours of operation: Tuesday – Wednesday, 12:00 PM - 8:00",1
"manager of record. Hours of operation:11:00 AM Sun.-Thur., 11:00 AM - 11:00 PM Fri. & Sat.",1
manager of record. Hours of operations: 5:00 AM - 12:00 AM.,1
manager of record. In two rooms on the first floor with kitchen and storage in rear. Hours of,1
manager of record. Service kiosk with ware washing and food preparation area. Hours,1
manager of the  licensed business - From Youqin Wu To: Liang Zheng.,1
manager of the  licensed business - From: Isabella Delre To: Gullinda Grace Loum.,1
manager of the  licensed business - From: Robert Cappello To: Christopher Ross Nyhan.,1
manager of the  licensed business - From: Ryan Curtis Patt To: Wilson Figueroa.,1
manager of the  licensed business – From: Jeremy Ward To: Kristen Mahon.,1
manager of the  licensed business – From: Paul J. Crowley Jr. To: Brooke E. Collinson.,1
manager of the license business – From: Hannah Statton To: Nicholas Phelps.,1
manager of the license business – From: Jack Whiting To: Kelly Shaughnessy.,1
manager of the license business – From: Nicholas Phelps To: Scott Evangelista.,1
manager of the license business – From: Scott Evangelista To: William Mills.,1
manager of the licensed  business - From: Kushal Rao To: Brian Thomas Foote.,1
manager of the licensed business   From: Benjamin J. Steigers  To: Desmond Yu Wai,1
manager of the licensed business   From: Carol Spiros To: Heather Sances.,1
manager of the licensed business   From: Kevin J. Bacon To: Giuseppe Granata.,1
manager of the licensed business   From: Sarah Szigeti To: Willie Gray.,1
manager of the licensed business   From: Willie Gray To: Sarah Rosenstein.,1
manager of the licensed business  - From: Robert F. Hoffman To: Patrick F. Strong.,1
manager of the licensed business  From: Dan Kakabeeke To: John G. Wilmoth.,1
manager of the licensed business -   From: Benjamin J. Steigers  To: Desmond Yu Wai,1
manager of the licensed business -  From: David M. Weinberg To:Nicholas S. DeFilippo.,1
manager of the licensed business -  From: Timothy Brett To: Fernando Antonio Grullon.,1
"manager of the licensed business - From: Adam Wilis To: Hector Tovar.  Secondly, has",1
manager of the licensed business - From: Adrian Fuentes To: Richard Sullivan II.,1
manager of the licensed business - From: Aengus O’Leary To: John Lydon.,1
manager of the licensed business - From: Brenda Turgeon To: William P. Bunce.,1
manager of the licensed business - From: Chester Wu  To: Hui Lin.,1
"manager of the licensed business - From: Chris Douglass To: Tara O’Riordan. Secondly, has petitioned",1
manager of the licensed business - From: Christopher Bussell To: Cara Spalla.,1
manager of the licensed business - From: Dana John O’Keefe To: Jared Case.,1
manager of the licensed business - From: Daniel Farese To: Anthony Rodriguez.,1
"manager of the licensed business - From: Edward Lanzillo To: Albi Gjura. Secondly, has petitioned for",1
manager of the licensed business - From: Elizabeth C. Palmer To: Oran McGonagle.,1
manager of the licensed business - From: Eric Woods To: Catherine Vandenabeele.,1
manager of the licensed business - From: Francesco Lunardi To: Oran McGonagle.,1
manager of the licensed business - From: Fred Starikov To: Sarah Leib.,1
"manager of the licensed business - From: Gabriel Cheung To: Ashling Greene. Secondly, has petitioned",1
manager of the licensed business - From: George Haivanis To: Antony Haivanis.,1
manager of the licensed business - From: Gullinda Grace Loum-Follet To: Brandon Cartagena.,1
manager of the licensed business - From: Huiling Deng To: Fuwei Wu.,1
"manager of the licensed business - From: Jacqueline Kelly To: Dwight Hoover. Secondly, has petitioned",1
manager of the licensed business - From: Jaime Campos II To: Matthew R. Harrington.,1
"manager of the licensed business - From: Jaimini Patel To: Nelson Antonio Carballo Aguilar. Secondly,",1
manager of the licensed business - From: James Driscoll To: Joseph Ghanem.,1
manager of the licensed business - From: James Marchant To: Brittany Rose Smith,1
manager of the licensed business - From: Jesica M. Lavin To: Edward Wiles.,1
manager of the licensed business - From: John Bouche To: Sabrina Blais.,1
manager of the licensed business - From: Joseph Battafarano To: Matthew Thomas Sentas.,1
manager of the licensed business - From: Joshua Robert Davis To: Brian Chiuchiolo.,1
"manager of the licensed business - From: Josiah A. Spaulding, Jr. To: John Soward. Secondly, has",1
manager of the licensed business - From: Katherine Francis Catka To: Matthew Kosciak.,1
manager of the licensed business - From: Laura Da Silva To: Melanie Boudrow.,1
manager of the licensed business - From: Marvin E. Alvarez To: Artur Duqi.,1
manager of the licensed business - From: Matthew Kosciak To: Kushal Rao.,1
manager of the licensed business - From: McKenna Smith To: Anthony Figueroa.,1
manager of the licensed business - From: Megan Robertson To: David Swiergosz.,1
manager of the licensed business - From: Michael Bernard To: Anthony Figueroa.,1
manager of the licensed business - From: Michael C. Jorgensen To: Gregory Clark.,1
"manager of the licensed business - From: Michael Jammen To: Aaron Constable. Secondly, has",1
"manager of the licensed business - From: Michael O’Mara To: Jack Hendler. Secondly, has petitioned",1
manager of the licensed business - From: Paul Braun To: Gerald Franklin Myers III.,1
manager of the licensed business - From: Peter Sula To: Philip Gagne.,1
manager of the licensed business - From: Raymond Johnston To: Amelia Monday.,1
manager of the licensed business - From: Sarah Rosenstein To: Willie Gray.,1
manager of the licensed business - From: Sean J. Comeau To: Albert Garcia.,1
manager of the licensed business - From: Sharad Chand To: Corey Hayes.,1
manager of the licensed business - From: Shawn Hunter To: Tasha Hull.,1
manager of the licensed business - From: Susan A. LaRosa To: Marvin E. Alvarez.,1
manager of the licensed business - From: Timothy P. Brett  To: Ryan D. Phillips,1
manager of the licensed business - From: Tristan Gaffny To: Bryan Saunders.,1
manager of the licensed business - From: Vina DePaolo To: Dario Daniel Buben Garcia.,1
manager of the licensed business - From: Vincent Sassone  To: Colin James Foley.,1
manager of the licensed business - From: Vincent Sassone To: Kimberly Tobias.,1
manager of the licensed business - From: William Bruce To: Ekramul Pijon.,1
manager of the licensed business - From: William McCarthy To: Oran McGonagle.,1
manager of the licensed business - From: William Ross Taylor  To: Alyssa J. Lawrence.,1
manager of the licensed business - From: Wilson Figueroa To: Tristan Gaffny.,1
manager of the licensed business From: Pierre Prat To: Karen Lynn Pattern.,1
manager of the licensed business ‑ From: John P. Corey Jr. To: Christopher J. Corey.,1
manager of the licensed business ‑ From: Joseph Dembek To: David Salcfas.,1
manager of the licensed business ‑ From: Stavros Papantoniadis To: Polyxny Papantoniadis.,1
manager of the licensed business –,1
manager of the licensed business – From:  Joanna K. Shalekbriski To: Thomas J. Lowry.,1
manager of the licensed business – From: Adam Callari To: Andrew Cregg.,1
manager of the licensed business – From: Adam Christian To: Cassidy Welsh,1
manager of the licensed business – From: Adam Christian To: Jack W. Beane.,1
manager of the licensed business – From: Alexandra Hedge To: John Stavropulos.,1
"manager of the licensed business – From: Anderson Winck To: Nelson Pedro DeOliveira. Secondly, has",1
manager of the licensed business – From: Angela Cortese To: Patrick Chhoy.,1
manager of the licensed business – From: Anne Patrizi Chambers To: Jesse DeVito.,1
manager of the licensed business – From: Austin M. O’Connor To: Austin S. O’Connor.,1
manager of the licensed business – From: Austin M. O’Connor To: Michael Carlisle.,1
manager of the licensed business – From: Brandon Cartagena To: Alexander Falconer.,1
manager of the licensed business – From: Brittany Smith To: David Petrilli.,1
manager of the licensed business – From: Bruno Marini To: Daniel J. Ceppetelli.,1
manager of the licensed business – From: Caron O’Neil To: James J. Clements.,1
manager of the licensed business – From: Cassidy Welsh To: Michael Botelho.,1
manager of the licensed business – From: Charles Wright To: Damaris Cercet.,1
manager of the licensed business – From: Christopher Ross Nyhan To: Joshua Robert Davis.,1
manager of the licensed business – From: Curtis Duffy To: Lindsey Cardin.,1
manager of the licensed business – From: Damaris Cercet To: Joseph J. Esposito.,1
manager of the licensed business – From: Damien Tubbritt To: Courtney G. Furno.,1
manager of the licensed business – From: David Wilson To: Perparim Sala.,1
manager of the licensed business – From: De Wei Guan To: Kevin Yi Zhang.,1
manager of the licensed business – From: Don Bailey To: Michael Bernard.,1
"manager of the licensed business – From: Eduardo Fernandez To: Nelson Fernandez. Secondly, has",1
manager of the licensed business – From: Elena Louise Todisco To: Kerry Henderson.,1
manager of the licensed business – From: Esther Tetreault To: Catherine Nan Brackett.,1
manager of the licensed business – From: Frank Strenk Jr. To: Timothy Philbin.,1
manager of the licensed business – From: Geoffrey Thompson To: Michael McCurry.,1
"manager of the licensed business – From: Gerald Cahill, Jr. To: Mary Ellen Strumm. Secondly, has",1
manager of the licensed business – From: Gregory Springer To: Austin S. O’Connor.,1
manager of the licensed business – From: Guillermo Erazo To: Jamie Villanueva.,1
manager of the licensed business – From: Heather Sances To: Samantha Reynolds.,1
manager of the licensed business – From: Hector Javier Tovar To: Michael Steven Botelho.,1
"manager of the licensed business – From: Henry Wong To: Daniel Stiffler. Secondly, has petitioned for",1
manager of the licensed business – From: Hsuanwei Fang To: Wilson Jovany Garcia.,1
"manager of the licensed business – From: James Caruso To: Dennis Dobbins, Jr. Secondly, has",1
manager of the licensed business – From: Jared Case To: Richard Parry.,1
manager of the licensed business – From: Jeffrey G. Saunders To: Gary L. Saunders.,1
"manager of the licensed business – From: Jeffrey Gates To: Sean Fitzgerald. Secondly, has petitioned",1
manager of the licensed business – From: Jesse DeVito To: Jordan Veiga.,1
manager of the licensed business – From: Jessica Hassan To: Kevin Kelly.,1
manager of the licensed business – From: Jessica Windford To: Scott MacLeod.,1
manager of the licensed business – From: Jessica Windford To: Zachary Monahan.,1
manager of the licensed business – From: Jose D. Lopez Jr. To: William Golden III.,1
manager of the licensed business – From: Justin Lisonbee To: Abby Adams.,1
manager of the licensed business – From: Karam Khosla To: Kenet Broslet Lemus Galicia.,1
manager of the licensed business – From: Kathleen T. Twarowski To: Christopher M. Bratcher.,1
manager of the licensed business – From: Katie Daley To: Valerie C. O’Connor.,1
manager of the licensed business – From: Kerri DiGregorio To: Brandon Dervishian.,1
manager of the licensed business – From: Kerry Henderson To: Evan W. Meyers.,1
manager of the licensed business – From: Kiarah Lynn Gutierrez To: Vanessa S. Lopez.,1
manager of the licensed business – From: Kristen Mahon To: Tachung Chang.,1
manager of the licensed business – From: Madison Kelly McNamee To: Thomas Michael Murphy.,1
manager of the licensed business – From: Marcos Doyle To: Sean McDonnell.,1
manager of the licensed business – From: Mark Kerwin. To: Eric Woods.,1
manager of the licensed business – From: Mark Levine To: Juan Herrera.,1
manager of the licensed business – From: Mark R. Mahoney To: Lewis Langer.,1
manager of the licensed business – From: Martin McNally To: David E. Stagemeyer.,1
manager of the licensed business – From: Matthew Kosciak To: Paul Lembo,1
manager of the licensed business – From: Meaghan P. Ivers To: Kiarah Lynn Gutierrez.,1
manager of the licensed business – From: Michael Joseph Martin To: Megan Nicole Robertson.,1
manager of the licensed business – From: Michael Steven Botelho To: Charles T. Hunter.,1
manager of the licensed business – From: Mike Melisi To: Derek Swartz.,1
manager of the licensed business – From: Mirza Pirez To: Wilfredo Palma Pleitez.,1
manager of the licensed business – From: Nicholas Saber To: Hermela Belachew.,1
manager of the licensed business – From: Noah Ambrose To: Matthew Virzi.,1
manager of the licensed business – From: Patrick Chhoy To: Farouk Bazoune.,1
"manager of the licensed business – From: Patrick Chhoy To: Scott Devine. Secondly, has petitioned for",1
"manager of the licensed business – From: Prashant Patel To: Jay Patel. Secondly, has petitioned",1
manager of the licensed business – From: Ralph S. Constantine To: Brigitte Boursiquot.,1
manager of the licensed business – From: Reza Merchant To: Caitlin Richards.,1
manager of the licensed business – From: Richard T. Hanna To: Christopher Walsh.,1
manager of the licensed business – From: Ryan J. Grady To: Richard T. Hanna.,1
manager of the licensed business – From: Ryan M. Origliosso to Corey S. Hallgren-Degrace.,1
manager of the licensed business – From: Ryan Potter To: Brandon Thomas Keating.,1
manager of the licensed business – From: Samantha Reynolds To: Jessica Hasan.,1
manager of the licensed business – From: Sarah Vasilevsky To: Esther Tetreault.,1
manager of the licensed business – From: Sasha Nisenbaum To: Derian Restrepo Mejia.,1
manager of the licensed business – From: Sean P. Donnelly To: Maura P. Cavanaugh Daniel.,1
manager of the licensed business – From: Stacey Perrone To: Amir Sadeghi.,1
manager of the licensed business – From: Taryn Leo to: Teddie King.,1
manager of the licensed business – From: Teddie King To: James Adams.,1
manager of the licensed business – From: Teradate Sunturnut To: Natthasit Niitsakulchai.,1
manager of the licensed business – From: Thomas J. Lowry To: Joanna K. Shalekbriski.,1
manager of the licensed business – From: Thomas Shea To: Brendan O’Connor.,1
manager of the licensed business – From: Timothy Bean To: Charles Wright.,1
manager of the licensed business – From: Tyler Smith To: Madison Kelly McNamee.,1
"manager of the licensed business – From: William Golden, III To: Michael Hennessy.",1
manager of the licensed business – From: William R. Andrews Jr. To: Frank G. Ripley Jr.,1
manager of the licensed business –From: Michael Maso To: Sondra Katz.,1
manager of the licensed business-From: Stephen Whalen To: Paul Chioccariello.,1
market and takeout restaurant.,1
market area with additional seats for 10 patrons; together with seasonal (April‑October) outdoor patio on,1
"market with grab and go retail fridge and pre orders. One floor with prep kitchen, 1 ADA bathroom, 1",1
"market/dining area, bar areas, back of house/kitchen, storage rooms and seating capacity of",1
married last name From: Mirosleidy Tejeda To: Mirosleidy Olivo.,1
masks; employees not wearing masks; and failure to social distance.*,1
"materials: Jbond, LLC, 25 Kingston St Boston, MA 02111 License#: LB‑99413, Notice/Violation#:",1
maximizing the impact of a single license. Such models help serve a,1
may apply to do so utilizing the Board’s One Day Amendment to Existing License application.,1
may not open before 11 AM on Sunday,1
"meals, 3) closing hour: Sunday- Wednesday 10:00 PM, Thursday-Saturday 10:30 PM. 4) patio",1
meals. 2)No bar.,1
means of egress in front and left side of the premises as you walk in the front door; and,1
"measures approximately 400 square feet, including kitchen, storage and dine in area.",1
"mechanical equipment and storage; 416 rooms. Dayeka Christmas, Manager.  Closing",1
mechanicals.,1
members-only lounge on basement level of Prince Hall Grand Lodge with 3 entrances and 3 exits. The,1
"merchandise area, lounge area with seating for patrons, food service area with kitchenette for preparing",1
"mezzanine event area is 3,302 sf and the 2nd floor area includes a 2,503 sf auditorium with 149 seats",1
mezzanine level and 47SF storage space on 2nd floor. Hub Hall featuring Morimoto Ramen by,1
mezzanine level of the second floor and three bathrooms. A private seasonal patio (May–October) seats,1
"mezzanine level with bar totaling 9,885 Sq. Ft. and 315 Sq. Ft. in basement for storage; Entrance on",1
"mezzanine level, a second floor with an outdoor space, a third floor consisting of 19 guestrooms and an",1
"mezzanine) in whole of said building, excluding the restaurant space on the second floor",1
"mezzanine, second floor); storage spaces, restrooms, and rehearsal spaces; kitchen, café and bar located",1
"micro-brewery on the 1st and 2nd floors including an outdoor patio with 2 entrances, 2 exits, 2 emergency exits,",1
"middle, and takeout retail in the front. The basement includes a locker room, restroom, and storage.",1
"midnight closing hour along Harrison Avenue and Traveler Street, with seating for 25 persons;",1
"midnight. Lastly, has petitioned for approval of separate management agreements with Superbien",1
"million square feet office tower: +/- 5,273 of restaurant space, +/- 1,527 whiskey bar, and +/- 6,325",1
"minimum, who provided the training, who participated, and the curriculum covered",1
minimum: protocols regarding police and/or emergency medical notification; crowd control and,1
"mitigation, hours of operation, and crowd control, upon receipt of a residents' petition pursuant to",1
"mixed use building, including main and private dining areas, bar, bathrooms and kitchen/storage",1
"mixed use rooming house that provides affordable, supported housing services. The house features",1
"mixed-use building with bar seating for 4 patrons, counter seating for 4 patrons, and dining area seating",1
modular units; no extension of alcohol service.,1
monitor illegal parking within the environs of the licensed premise,1
monitor lines and capacity,1
monitoring capacity of the premises to be licensed,1
month long extension for the vendors on their license i.e Superbien & Koji Club with clear,1
"moored, the dining area consists of +/-55,000 square feet, +/-45,000 square feet on the",1
"morning baby shower and evening birthday party on December 13, 2025 between 10 a.m. and 10 p.m.",1
most positive impact.,1
"multiple bathrooms for guests and staff, kitchens, walk-in coolers, offices,  storage and lockers for staff.",1
multiple professional and commercial uses. Bar and table seating for 171 seats; private dining with 15,1
"multi‑use building will be licensed, with one entrance/exit to the street and another to the building",1
music dining with seating for 47 patrons(total restaurant configuration seating 166). Nightclub,1
music shall not be played in the outdoor dining area at any time and the Restaurant shall observe the,1
"must submit documentation to the Board stating that they acknowledge the incident,",1
name of the licensed business - From: Thompson Island Outward Bound Education Center Inc. To:,1
necessary refrigeration for the addition. The store is well staffed and has a security,1
necessary to review the request. Such review and approval shall be conducted administratively,1
neighborhood customers and has been in continuous operation since 2013. It is,1
neighborhood organizations,1
"neighborhood. The space is one (1) floor consisting of 16,888SF. There is a retail, lounge/café area",1
neutral bathroom and one server station are part of the floor plan.,1
new concept and partnership at that time,1
"new five story building on Dorchester Avenue. It is a 1250 square foot open plan space, with a utility",1
"new location, guided by the factors outlined in Ballarin, Inc. v. Licensing Board of",1
ninety (90) and max occupancy number of one-hundred and twenty (120). To include seating area with,1
"no indoor bar, dining area or seating inside.  We are a full service take out establishment.",1
"no indoor bar, dining area or seating inside. This is a full service take out establishment.",1
no indoor seating.,1
no seating.,1
"no seats take out only inside Northeastern. Serving Coffee, Beverages, Acai bowls, Sandwiches.",1
no standees. Second floor guest rooms and outdoor terrace with lounge seating. Third through fifth,1
"non-use of the License in violation of M.G.L. ch. 138 s. 16A, s. 23, s. 64, s. 77; and Board’s Rule 1.07A,",1
"noor, consisting of a bar with 8 seats, six golf simulator bays with projection screens and 36 seats, a",1
"north dining area(+/-960 S.F.), south dining area(+/- 1,784 S.F.) with aggregate seating for 203. 1,492",1
northeastern side situated perpendicular to Jersey Street (the farmer distillery building); 2) one tiki bar,1
"not limited to, Northeast Security) regarding dispersing patrons",1
not received any subsequent information from the Licensee.,1
notice for failure to timely provide the Board with the requested de-escalation plan,1
notify the Board of a temporary closure to refresh and rebrand the Licensee’s concept.,1
notifying the Board of its continued temporary closure until early August 2023 due to a,1
noting that any licensee who has held a wines and malt beverages license since at least,1
"number are to be determined. Closing hour, weekdays 10:00 PM and weekends 11:00PM. Xun Yang,",1
number of residents.,1
observe the City of Boston Noise Ordinance (Section 16-26 of the City of Boston Code Ordinances).,1
"occupancy an estimated 5,000SF. Rooms will include a 6000SF theater, 2400SF gallery, 2000SF for",1
"occupancy number of fifteen (15). To include small seating area, food prep area, dry storage area, three",1
occupancy of 757. The total capacity of the patio is 698 including seating capacity of 48 people. In the,1
"occupancy, kitchen and bar set up on the main floor. Prep and secure storage facility on",1
"occupant load of approximately 445 persons. Cory Templehof, Manager. 12:00AM Closing Hour. Additionally,",1
"occupants. This includes laundry room, kitchen, game room, lobby etc. with 10 rooms and",1
"occupants. This includes laundry room, kitchen, game room, lobby etc. with 24 rooms and",1
"occupy the Licensed Premise, the filing of the annual renewal application for the Licensee entity, and the",1
"occurred: AA & AG, Inc. d/b/a The Corner Restaurant, located at 156 Bunker Hill St, Charlestown, MA",1
"occurred: B.U., LLC d/b/a B.U. Bistro, located at 3840 Washington St, Roslindale, MA 02131. License",1
"occurred: House of Siam Inc. d/b/a House of Siam on Tremont, located at 592A - 592 Tremont St.,",1
"occurred: Juan Reyes, Individual d/b/a Miami Restaurant, located at 381 Centre St., Jamaica Plain,",1
of  12 p.m. - 6 p.m.,1
of  Officers/Directors/LLC Managers.,1
"of  Officers/Directors/LLC Managers. Secondly, has petitioned for a change of Stock Interest. Lastly,",1
"of  the parking surrounding the brewery for the “Harpoon St. Patrick’s Festival” on March 14, 2025, 6",1
"of - 9,576 sq ft on ground floor consisting of dining room, bar area, kitchen and restrooms, with covered",1
"of - Restaurant space on first floor of building totaling 9,232 sq. ft. with dining rooms, bar with 38",1
of 1 p.m. and 9 p.m.,1
of 1000SF. Storage in basement. Manager:  Anderson Diaz Closing Time:  11 p.m.,1
of 10AM 9PM and 84 seats.,1
"of 11 AM and 11 PM. Niral Patel, Manager. 2:00 AM Closing Hour. Secondly, has petitioned to pledge",1
of 12:00 p.m. - 4:00 p.m.  Manager: Mario Watkins,1
"of 12:30 a.m on February 24, 2024 for a Private Birthday Celebration between the hours of",1
"of 153 persons; one room, kitchen and storage area in basement with a capacity of 149. To:",1
of 1994.,1
"of 1:30 a.m. for a Wedding on December 29, 2024 between the hours of 7: 00 p.m. - 2:00 a.m.",1
"of 1:30 a.m.. All guests out by 2:30 a.m. for a Wedding on January 20, 2024 between the hours",1
of 2 underage intoxicated patrons in violation of M.G.L. ch. 138 s. 64. Removal of 10 intoxicated,1
"of 200 State St, with storage. Manager:  George Kalogiannis",1
"of 314, 1,940sf kitchen in rear, basement for storage. Additional emergency exit through kitchen to",1
"of 326-328 Commercial Street with dining areas, raw bar, seated bar; storage and office space and wine",1
of 450 person capacity.,1
of 46) with 400SF outdoor annual (weather permitting) patio on private property closing hour,1
of 4:00 PM – 8:00 PM. Peter Bowne as manager of record.,1
of 5:00 p.m. - 10:00 p.m.,1
of 5:30 p.m - 10:30 p.m.,1
of 60.,1
"of 6:00 p.m. – 11:00 p.m., May 21, 2022 between the hours of 12:00 p.m. – 7:00 p.m. and",1
of 7:00 p.m. - 11;00 p.m.,1
of 88 occupants.,1
"of Beer on the contiguous space on Power St.. for the Annual Polish Cultural Fest 2024 on May 19,",1
"of Beer, Wine & Spirit, located at 700 Atlantic Ave., Boston, MA 02110 License #:",1
of COVID-19 operational requirements.,1
of Chapter 287 of the Acts of 2014.,1
of M.G.L. ch 138 s. 64.,1
"of M.G.L. ch. 138 s. 34‑34A, 41, 64‑64A and Board's rule 1.08F.",1
"of M.G.L. ch. 138 s. 64, ch. 265 s. 22.",1
"of M.G.L. ch. 138 s. 64, ch.265 s. 13A.",1
of M.G.L. ch. 138 s. 77 and s. 64.,1
"of M.G.L. ch. 34A, 34C, 64‑64A.",1
of Monday – Saturday: 8:00 AM – 9:00 PM and Sunday: 12:00 PM – 9:00,1
"of Officers /Directors. Secondly, has petitioned for a change of Stock Interest.",1
"of Officers /Directors. Secondly, has petitioned for a change of Stock Interest. Lastly, has petitioned",1
of Officers/Directors/ LLC Managers.,1
"of Officers/Directors/LLC Managers.  Lastly, has petitioned for a change in Ownership Interest.",1
"of Officers/Directors/LLC Managers. Secondly, has petitioned for a change of Stock Interest. Lastly",1
"of Officers/Directors/LLC Managers. Secondly, has petitioned for a change of Stock Interest. Lastly,",1
"of Officers/Directors/LLC Managers. Secondly, has petitioned to change the manager of the licensed",1
"of Ownership Interest.  Thirdly, has petitioned to change the DBA  From: Little Dipper To: Tonino.",1
"of Ownership Interest. Secondly, has petitioned for a change of Officers/Directors/LLC Managers.",1
of Paradise) for an extended patio space in the warmer months. There will continue to be,1
of Record,1
of Record. Hours of operation 7:00 AM - 10:00 PM.,1
"of Stock Interest.  Secondly, has petitioned for a change in Ownership Interest.",1
"of a 3,540 sf ground floor and 957 sf mezzanine. The ground floor has a fully equipped",1
"of a Management Agreement between AHF Speedway Holdings, LLC and Wicked Thrawl, LLC.",1
"of a commercial/residential building. When you walk into the café on 376 Warren St., you can place",1
of a shared building with single entrance and exit. Entrance/Exit is stand alone from other businesses. It,1
"of a three story  building.  One room for retail with basement for storage containing 1,535",1
"of a total of 4,091 sf with 1 entrance and 3 exits. Additionally, has petitioned to pledge the license to 9",1
"of another Management Agreement between High Street TRS, LLC d/b/a High Street Place and Noble",1
"of another Management Agreement between High Street TRS, LLC d/b/a High Street Place and Sugar",1
"of approx. 2000 square feet  one room on first floor, dining consisting of 63 seats, no bar,",1
of beer and wine will not require any substantive change. The store already has the,1
of both the business and the neighborhood in which it operates. The,1
of building: sales area with multiple coolers and back room storage (+/-  1600 SF). Anil,1
"of corridor and elevator lobby space; and +/- 14,823 sf of outdoor space on the eight (8th) floor,",1
of dining room seating 40. Seasonal (March‑October) private patio with seating for 10 with the,1
"of egress and an outdoor annual four-season patio totaling 5,000 sq. ft. on private property with a",1
"of egress, and additional 980 SF located in basement for storage.",1
of emergency.,1
"of full‑service restaurant of approximately 7,196SF located within the street level of the",1
"of inspection, and fire assembly permit, following renovations to the licensed premise. The",1
of leased retail space on the 1st floor and consists of 3 rooms: (1) a main room with,1
